t,B,N
20.312903,0.468186,0.088370
20.312903,0.468186,0.087099
20.312903,0.468186,0.086040
20.465982,0.467904,0.088370
20.465982,0.467904,0.087099
20.465982,0.467904,0.086040
20.619062,0.467692,0.088370
20.619062,0.467692,0.087099
20.619062,0.467692,0.086040
20.772141,0.467409,0.088370
20.772141,0.467409,0.087099
20.772141,0.467409,0.086040
20.925220,0.467268,0.088370
20.925220,0.467268,0.087099
20.925220,0.467268,0.086040
21.078299,0.466986,0.088370
21.078299,0.466986,0.087099
21.078299,0.466986,0.086040
21.231378,0.466844,0.088370
21.231378,0.466844,0.087099
21.231378,0.466844,0.086040
21.384457,0.466562,0.088370
21.384457,0.466562,0.087099
21.384457,0.466562,0.086040
21.537537,0.466279,0.088370
21.537537,0.466279,0.087099
21.537537,0.466279,0.086040
21.690616,0.466138,0.088370
21.690616,0.466138,0.087099
21.690616,0.466138,0.086040
21.843695,0.465856,0.088370
21.843695,0.465856,0.087099
21.843695,0.465856,0.086040
21.996774,0.465644,0.088370
21.996774,0.465644,0.087099
21.996774,0.465644,0.086040
22.149853,0.465361,0.088370
22.149853,0.465361,0.087099
22.149853,0.465361,0.086040
22.302933,0.465220,0.088370
22.302933,0.465220,0.087099
22.302933,0.465220,0.086040
22.456012,0.464938,0.088370
22.456012,0.464938,0.087099
22.456012,0.464938,0.086040
22.609091,0.464726,0.088370
22.609091,0.464726,0.087099
22.609091,0.464726,0.086040
22.762170,0.464443,0.088370
22.762170,0.464443,0.087099
22.762170,0.464443,0.086040
22.915249,0.464302,0.088370
22.915249,0.464302,0.087099
22.915249,0.464302,0.086040
23.068328,0.464019,0.088370
23.068328,0.464019,0.087099
23.068328,0.464019,0.086040
23.221408,0.463737,0.088370
23.221408,0.463737,0.087099
23.221408,0.463737,0.086040
23.374487,0.463596,0.088370
23.374487,0.463596,0.087099
23.374487,0.463596,0.086040
23.527566,0.463313,0.088370
23.527566,0.463313,0.087099
23.527566,0.463313,0.086040
23.680645,0.463172,0.088370
23.680645,0.463172,0.087099
23.680645,0.463172,0.086040
23.833724,0.462819,0.088370
23.833724,0.462819,0.087099
23.833724,0.462819,0.086040
23.986804,0.462678,0.088370
23.986804,0.462678,0.087099
23.986804,0.462678,0.086040
24.139883,0.462395,0.088370
24.139883,0.462395,0.087099
24.139883,0.462395,0.086040
24.292962,0.462254,0.088370
24.292962,0.462254,0.087099
24.292962,0.462254,0.086040
24.446041,0.461971,0.088370
24.446041,0.461971,0.087099
24.446041,0.461971,0.086040
24.599120,0.461760,0.088370
24.599120,0.461760,0.087099
24.599120,0.461760,0.086040
24.752199,0.461477,0.088370
24.752199,0.461477,0.087099
24.752199,0.461477,0.086040
24.905279,0.461336,0.088370
24.905279,0.461336,0.087099
24.905279,0.461336,0.086040
25.058358,0.461053,0.088370
25.058358,0.461053,0.087099
25.058358,0.461053,0.086040
25.211437,0.460912,0.088370
25.211437,0.460912,0.087099
25.211437,0.460912,0.086040
25.364516,0.460630,0.088370
25.364516,0.460630,0.087099
25.364516,0.460630,0.086040
25.517595,0.460488,0.088370
25.517595,0.460488,0.087099
25.517595,0.460488,0.086040
25.670674,0.460206,0.088370
25.670674,0.460206,0.087099
25.670674,0.460206,0.086040
25.823754,0.460065,0.088370
25.823754,0.460065,0.087099
25.823754,0.460065,0.086040
25.976833,0.459782,0.088370
25.976833,0.459782,0.087099
25.976833,0.459782,0.086040
26.129912,0.459641,0.088370
26.129912,0.459641,0.087099
26.129912,0.459641,0.086040
26.282991,0.459358,0.088370
26.282991,0.459358,0.087099
26.282991,0.459358,0.086040
26.436070,0.459288,0.088370
26.436070,0.459288,0.087099
26.436070,0.459288,0.085828
26.589150,0.459005,0.088370
26.589150,0.459005,0.087099
26.589150,0.459005,0.085828
26.742229,0.458864,0.088370
26.742229,0.458864,0.087099
26.742229,0.458864,0.085828
26.895308,0.458652,0.088370
26.895308,0.458652,0.087099
26.895308,0.458652,0.085828
27.048387,0.458511,0.088229
27.048387,0.458511,0.086958
27.048387,0.458511,0.085757
27.201466,0.458299,0.087946
27.201466,0.458299,0.086675
27.201466,0.458299,0.085616
27.354545,0.458087,0.087946
27.354545,0.458087,0.086675
27.354545,0.458087,0.085616
27.507625,0.458016,0.087946
27.507625,0.458016,0.086675
27.507625,0.458016,0.085616
27.660704,0.457734,0.087946
27.660704,0.457734,0.086675
27.660704,0.457734,0.085616
27.813783,0.457663,0.087946
27.813783,0.457663,0.086675
27.813783,0.457663,0.085616
27.966862,0.457381,0.087946
27.966862,0.457381,0.086675
27.966862,0.457381,0.085616
28.119941,0.457240,0.087946
28.119941,0.457240,0.086675
28.119941,0.457240,0.085616
28.273021,0.457169,0.087946
28.273021,0.457169,0.086675
28.273021,0.457169,0.085616
28.426100,0.456886,0.087946
28.426100,0.456886,0.086675
28.426100,0.456886,0.085616
28.579179,0.456816,0.087946
28.579179,0.456816,0.086675
28.579179,0.456816,0.085616
28.732258,0.456675,0.087946
28.732258,0.456675,0.086675
28.732258,0.456675,0.085616
28.885337,0.456392,0.087946
28.885337,0.456392,0.086675
28.885337,0.456392,0.085616
29.038416,0.456392,0.087946
29.038416,0.456392,0.086675
29.038416,0.456392,0.085616
29.191496,0.456180,0.087946
29.191496,0.456180,0.086675
29.191496,0.456180,0.085616
29.344575,0.455968,0.087946
29.344575,0.455968,0.086675
29.344575,0.455968,0.085616
29.497654,0.455968,0.087946
29.497654,0.455968,0.086675
29.497654,0.455968,0.085616
29.650733,0.455756,0.087946
29.650733,0.455756,0.086675
29.650733,0.455756,0.085545
29.803812,0.455545,0.087946
29.803812,0.455545,0.086675
29.803812,0.455545,0.085404
29.956891,0.455545,0.087946
29.956891,0.455545,0.086675
29.956891,0.455545,0.085404
30.109971,0.455403,0.087946
30.109971,0.455403,0.086675
30.109971,0.455403,0.085404
30.263050,0.455121,0.087946
30.263050,0.455121,0.086675
30.263050,0.455121,0.085404
30.416129,0.455121,0.087805
30.416129,0.455121,0.086534
30.416129,0.455121,0.085333
30.569208,0.455050,0.087523
30.569208,0.455050,0.086251
30.569208,0.455050,0.085192
