t,B,N
93.178592,0.450883,0.085404
93.178592,0.450883,0.084345
93.331672,0.450883,0.086675
93.331672,0.450883,0.085404
93.331672,0.450883,0.084345
93.484751,0.450883,0.086675
93.484751,0.450883,0.085404
93.484751,0.450883,0.084345
93.637830,0.450883,0.086675
93.637830,0.450883,0.085404
93.637830,0.450883,0.084345
93.790909,0.450883,0.086675
93.790909,0.450883,0.085404
93.790909,0.450883,0.084345
93.943988,0.450883,0.086675
93.943988,0.450883,0.085404
93.943988,0.450883,0.084345
94.097067,0.450883,0.086675
94.097067,0.450883,0.085404
94.097067,0.450883,0.084345
94.250147,0.450883,0.086675
94.250147,0.450883,0.085404
94.250147,0.450883,0.084345
94.403226,0.450883,0.086675
94.403226,0.450883,0.085404
94.403226,0.450883,0.084345
94.556305,0.450883,0.086675
94.556305,0.450883,0.085404
94.556305,0.450883,0.084345
94.709384,0.450883,0.086675
94.709384,0.450883,0.085404
94.709384,0.450883,0.084345
94.862463,0.450883,0.086675
94.862463,0.450883,0.085404
94.862463,0.450883,0.084345
95.015543,0.450883,0.086675
95.015543,0.450883,0.085404
95.015543,0.450883,0.084345
95.168622,0.450883,0.086675
95.168622,0.450883,0.085404
95.168622,0.450883,0.084345
95.321701,0.450883,0.086675
95.321701,0.450883,0.085404
95.321701,0.450883,0.084345
95.474780,0.450883,0.086675
95.474780,0.450883,0.085404
95.474780,0.450883,0.084345
95.627859,0.450883,0.086675
95.627859,0.450883,0.085404
95.627859,0.450883,0.084345
95.780938,0.450883,0.086675
95.780938,0.450883,0.085404
95.780938,0.450883,0.084345
95.934018,0.450883,0.086675
95.934018,0.450883,0.085404
95.934018,0.450883,0.084345
96.087097,0.450883,0.086675
96.087097,0.450883,0.085404
96.087097,0.450883,0.084345
96.240176,0.450883,0.086675
96.240176,0.450883,0.085404
96.240176,0.450883,0.084345
96.393255,0.450883,0.086675
96.393255,0.450883,0.085404
96.393255,0.450883,0.084345
96.546334,0.450883,0.086675
96.546334,0.450883,0.085404
96.546334,0.450883,0.084345
96.699413,0.450883,0.086675
96.699413,0.450883,0.085404
96.699413,0.450883,0.084345
96.852493,0.450883,0.086675
96.852493,0.450883,0.085404
96.852493,0.450883,0.084345
97.005572,0.450883,0.086675
97.005572,0.450883,0.085404
97.005572,0.450883,0.084345
97.158651,0.450883,0.086675
97.158651,0.450883,0.085404
97.158651,0.450883,0.084345
97.311730,0.450883,0.086675
97.311730,0.450883,0.085404
97.311730,0.450883,0.084345
97.464809,0.450883,0.086675
97.464809,0.450883,0.085404
97.464809,0.450883,0.084345
97.617889,0.450883,0.086675
97.617889,0.450883,0.085404
97.617889,0.450883,0.084345
97.770968,0.450883,0.086675
97.770968,0.450883,0.085404
97.770968,0.450883,0.084345
97.924047,0.450883,0.086675
97.924047,0.450883,0.085404
97.924047,0.450883,0.084345
98.077126,0.450883,0.086675
98.077126,0.450883,0.085404
98.077126,0.450883,0.084345
98.230205,0.450883,0.086675
98.230205,0.450883,0.085404
98.230205,0.450883,0.084345
98.383284,0.450883,0.086675
98.383284,0.450883,0.085404
98.383284,0.450883,0.084345
98.536364,0.450883,0.086675
98.536364,0.450883,0.085404
98.536364,0.450883,0.084345
98.689443,0.450883,0.086675
98.689443,0.450883,0.085404
98.689443,0.450883,0.084345
98.842522,0.450883,0.086675
98.842522,0.450883,0.085404
98.842522,0.450883,0.084345
98.995601,0.450883,0.086675
98.995601,0.450883,0.085404
98.995601,0.450883,0.084345
99.148680,0.450883,0.086675
99.148680,0.450883,0.085404
99.148680,0.450883,0.084345
99.301760,0.450883,0.086675
99.301760,0.450883,0.085404
99.301760,0.450883,0.084345
99.454839,0.450883,0.086675
99.454839,0.450883,0.085404
99.454839,0.450883,0.084345
99.607918,0.450883,0.086675
99.607918,0.450883,0.085404
99.607918,0.450883,0.084345
99.760997,0.450883,0.086675
99.760997,0.450883,0.085404
99.760997,0.450883,0.084345
99.914076,0.450813,0.086675
99.914076,0.450813,0.085404
99.914076,0.450813,0.084345
100.067155,0.450742,0.086675
100.067155,0.450742,0.085404
100.067155,0.450742,0.084345
100.169208,0.450883,0.086675
100.169208,0.450883,0.085404
100.169208,0.450883,0.084345
